2250.07;Ветеринарски инспектор
2250.08;Истраживач у области ветеринарства
2261.01;Максилофацијални хирург
2261.02;Орални хирург
2261.03;Ортодонт
2261.04;Пародонтолог
2261.05;Педонтолог
2261.06;Специјалиста денталне и оралне патологије с пародонтологијом
2261.07;Специјалиста дечије и превентивне стоматологије
2261.08;Специјалиста ендодонције
2261.09;Специјалиста оралне хирургије
2261.1;Стоматолог
2261.11;Стоматолог протетичар
2262.01;Апотекарски фармацеут
2262.02;Индустријски фармацеут
2262.03;Истраживач у области фармације
2262.04;Организатор клиничких испитивања
2262.05;Радио-фармацеут
2262.06;Специјалиста контроле квалитета фармацеутских производа
2262.07;Фармацеут
2262.08;Фармацеут козметолог
2262.09;Фармацеут снабдевања, промета и набавке лекова
2262.1;Фармацеут специјалиста за лековито биље
2262.11;Фармацеут специјалиста за фармацеутску технологију
2262.12;Фармацеут специјалиста клиничке фармакологије
2262.13;Фармацеут у болници
2263.01;Стручњак за безбедност и здравље на раду
2263.02;Стручњак за заштиту од радијације
2263.03;Стручњак за санитарну безбедност и здравље на раду
2264.01;Спортски физиотерапеут
2264.02;Физиотерапеут
2264.03;Физиотерапеут за терапију ласером
2264.04;Физиотерапеут специјалиста за геријатрију
2264.05;Физиотерапеут специјалиста за ортопедију
2264.06;Физиотерапеут специјалиста за педијатрију
2265.01;Медицински дијететичар
2265.02;Нутрициониста дијететичар
2265.03;Спортски нутрициониста
2266.01;Аудиолог
2266.02;Логопед
2266.03;Ортофоничар
2266.04;Фонопед
2267.01;Оптометричар
2267.02;Ортоптичар
2269.01;Хиропрактичар
2269.02;Мртвозорник
2269.03;Остеопат
2269.04;Радни терапеут
2269.05;Рекреативни терапеут
2269.06;Специјалиста за дерматокозметику
2269.07;Специјалиста за медицинску естетику
2269.08;Специјалиста за терапију бојом – хромотерапију
2269.09;Специјалиста за терапију музиком – музикотерапију
2269.1;Терапеут специјалиста за игру и покрет
2310.01;Наставник у области архитектуре
2310.02;Наставник у области библиотекарства, архиварства и музеологије
2310.03;Наставник у области биолошких наука
2310.04;Наставник у области биотехничких наука
2310.05;Наставник у области ветеринарских наука
